month_end,raw_close_usd,ttm_dividend_usd,ttm_yield_pct,latest_dividend_usd
2023-07-31,293.20001221,5.94000000,2.02592079,1.52000000
2023-08-31,281.14999390,6.08000000,2.16254673,1.52000000
2023-09-29,263.44000244,6.08000000,2.30792588,1.52000000
2023-10-31,262.17001343,6.08000000,2.31910580,1.52000000
2023-11-30,281.83999634,6.23000000,2.21047406,1.67000000
2023-12-29,296.51000977,6.23000000,2.10110951,1.67000000
2024-01-31,292.72000122,6.23000000,2.12831374,1.67000000
2024-02-29,292.27999878,6.38000000,2.18283838,1.67000000
2024-03-28,281.95001221,6.38000000,2.26281246,1.67000000
2024-04-30,273.04000854,6.38000000,2.33665390,1.67000000
2024-05-31,258.89001465,6.38000000,2.46436697,1.67000000
2024-06-28,254.83999634,6.53000000,2.56239213,1.67000000
2024-07-31,265.39999390,6.53000000,2.46043713,1.67000000
2024-08-30,288.66000366,6.53000000,2.26217693,1.67000000
2024-09-30,304.51000977,6.68000000,2.19368815,1.67000000
2024-10-31,292.10998535,6.68000000,2.28680988,1.67000000
2024-11-29,296.01000977,6.68000000,2.25668044,1.67000000
2024-12-31,289.89001465,6.78000000,2.33881805,1.77000000
2025-01-31,288.70001221,6.78000000,2.34845851,1.77000000
2025-02-28,308.32998657,6.78000000,2.19894279,1.77000000
2025-03-31,312.36999512,6.88000000,2.20251628,1.77000000
2025-04-30,319.64999390,6.88000000,2.15235418,1.77000000
2025-05-30,313.85000610,6.88000000,2.19212996,1.77000000
2025-06-30,292.17001343,6.98000000,2.38901998,1.77000000
2025-07-31,300.07000732,6.98000000,2.32612385,1.77000000
2025-08-29,313.54000854,6.98000000,2.22619117,1.77000000
2025-09-30,303.89001465,7.08000000,2.32979027,1.77000000
2025-10-31,298.42999268,7.08000000,2.37241570,1.77000000
2025-11-28,311.82000732,7.08000000,2.27054064,1.77000000
2025-12-31,305.63000488,7.17000000,2.34597385,1.86000000
2026-01-30,315.00000000,7.17000000,2.27619048,1.86000000
2026-02-27,341.05999756,7.17000000,2.10226941,1.86000000
2026-03-31,310.79000854,7.26000000,2.33598243,1.86000000
2026-04-30,293.58999634,7.26000000,2.47283630,1.86000000
2026-05-29,279.20001221,7.26000000,2.60028642,1.86000000
2026-06-30,270.30999756,7.35000000,2.71910032,1.86000000
2026-07-31,270.64001465,7.35000000,2.71578466,1.86000000
2026-08-27,260.05999756,7.35000000,2.82627089,1.86000000
