date,open,high,low,raw_close,adjusted_close,volume,source_id,source_url,is_peak_raw_close,is_peak_intraday_high
2025-10-01,303.26,304.77,298.30,300.52,295.066711,3055300,yahoo_chart_mcd_2026-08-29,https://query1.finance.yahoo.com/v8/finance/chart/MCD?period1=1756339200&period2=1787875200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,false,false
2025-10-02,299.60,302.38,298.95,299.88,294.438324,2690400,yahoo_chart_mcd_2026-08-29,https://query1.finance.yahoo.com/v8/finance/chart/MCD?period1=1756339200&period2=1787875200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,false,false
2025-10-03,298.90,301.39,298.66,300.98,295.518372,2599100,yahoo_chart_mcd_2026-08-29,https://query1.finance.yahoo.com/v8/finance/chart/MCD?period1=1756339200&period2=1787875200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,false,false
2025-10-06,299.04,299.65,294.91,296.04,290.668030,3814200,yahoo_chart_mcd_2026-08-29,https://query1.finance.yahoo.com/v8/finance/chart/MCD?period1=1756339200&period2=1787875200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,false,false
2025-10-07,295.00,298.07,294.13,296.32,290.942932,2515700,yahoo_chart_mcd_2026-08-29,https://query1.finance.yahoo.com/v8/finance/chart/MCD?period1=1756339200&period2=1787875200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,false,false
2025-10-08,296.38,296.66,293.43,294.40,289.057770,2464600,yahoo_chart_mcd_2026-08-29,https://query1.finance.yahoo.com/v8/finance/chart/MCD?period1=1756339200&period2=1787875200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,false,false
2025-10-09,293.65,295.12,292.04,293.81,288.478455,2802700,yahoo_chart_mcd_2026-08-29,https://query1.finance.yahoo.com/v8/finance/chart/MCD?period1=1756339200&period2=1787875200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,false,false
2025-10-10,294.70,297.95,292.89,297.01,291.620422,4016200,yahoo_chart_mcd_2026-08-29,https://query1.finance.yahoo.com/v8/finance/chart/MCD?period1=1756339200&period2=1787875200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,false,false
2025-10-13,294.60,300.42,294.00,300.11,294.664154,3369300,yahoo_chart_mcd_2026-08-29,https://query1.finance.yahoo.com/v8/finance/chart/MCD?period1=1756339200&period2=1787875200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,false,false
2025-10-14,300.16,305.52,300.11,304.56,299.033386,2992800,yahoo_chart_mcd_2026-08-29,https://query1.finance.yahoo.com/v8/finance/chart/MCD?period1=1756339200&period2=1787875200&interval=1d&events=div%2Csplits&includeAdjustedClose=true,false,false
